sentence,emotion
i am feeling tortured,anger
i drink a full cup of coffee i become what i feel to be is the most sarcastic person on the entire earth,anger
i know people have already given her hell for this but i feel i need to say my piece because i am still furious about it,anger
i feel sickened by and disgusted with the sins of man a href http trusthismercy,anger
i havent worked out today but i feel like im just not going to feel it ive been so stressed at work and just in life that this week is just bad,anger
i feel extremely jealous when ranbir works with other directors ayan mukerji youth madness and love ayan mukerji style,anger
i think too often people do not share their feelings in fear of someone choosing to be offended,anger
when they changed my office to another room without my agreement,anger
i told her she hurt my feelings she got offended and defended her statements with this i was just being honest,anger
i feel even disgusted,anger
at home when they lost three pieces of my puzzle,anger
i feel everything the protagonist feel and damn is it fucked up,anger
i am impatient i am happy that i am because the whole nation is feeling impatient at the lack of credible efforts from your government against corruption,anger
i know i feel selfish as i begrudge having to send money we could do with but dominicans have no selfishness when it comes to supporting the family it is just something you do,anger
i don t feel resentful about the paycheck jobs,anger
i feel outraged after yesterday s news of a new wave of severe economic measures by the greek government and the imf in order to save us,anger
i feel like its times like these when we really should be by ourselves because i dont want him to feel like i am mad at him,anger
i am feeling i m annoyed about experiencing the treatment that is being dished out to me by the people that i have mentioned above,anger
i feel like heartless no feeling and emotion,anger
i feel selfish for even saying this,anger
i feel rude leaving the room whenever you eat but i feel it would be more rude to throw up while you eat,anger
i have been working three unfulfilling contract jobs and feeling fairly dissatisfied with my career path,anger
i feel so fucked up right now,anger
i don t feel insulted,anger
i feel so envious of all my friends who are getting married,anger
being a spokesman for the union,anger
i feel the story of richards reign was rushed and important details forgotten or only touched upon i was impressed by aneurin barnard,anger
i feel annoyed with myself,anger
i feel greedy with my self as of late,anger
i thought couples who are so close together will keep saying mushy things and i feel extremely disgusted and now we are worse than them,anger
i feel he is quite distracted with to many things brewing to focus on his most talented opponent yet,anger
i feel angered at myself ashamed and theres also a mixture of self hatred in there too,anger
i tried to shake off my feelings of she is mad at me she is planning something without me i did something,anger
i didnt feel anything wasnt bothered and was more irritated that she just wanted to stay on the phone when i wanted to get back to tek,anger
i woke up with an awful cold and i feel like a tranquilized bear grouchy and achy all over,anger
im already feeling irate,anger
i couldn t stop feel that i were wronged,anger
i seriously have no idea what this string of words mean but i see people using it when they get aggravated and i was am feeling aggravated so i use lah,anger
i feel heartless because it must of taken him so much courage to approach us like that especially since he was standing with his friends encouraging him for like or mins prior to him joining us and i just took that and smashed it,anger
i know there are times when i have had down days and things dont seem to be going very well and i am truly feeling grumpy and then if i start to make a list of things that i am thankful to god for my day and my attitude will often very quickly make a turn around,anger
i have with siri is that rather than feeling in control when i use it i just feel rude,anger
i have dry skin so i feel like the area is just really irritated and dry,anger
i am over analyzing every detail of my life which is making me feel like i fucked up somewhere along the way,anger
i know words only have as much power that you give them but the messenger of such words can be just as influential on how it makes you feel he said that it was a term of endearment but all i felt was dismay and quite frankly i got pissed off,anger
i ask myself these questions when i feel im being greedy,anger
i know from experience that if i was sitting on the beach next to him he would not last more than minutes before getting agitated and wanting to go which would then make me feel agitated and defeat the whole purpose of pursuing my desire,anger
i indecisive but i am guilty of feeling greedy if i think of using the money on me in materialistic ways,anger
i couldn t help feeling a little envious when they were talking about home there families and hot baths,anger
i also feel a little resentful of the fact that im spending what are supposed to be some of the best years of my life taking care of other people while what little social life i have atrophies because im left without the time or energy to maintain it,anger
i feel stressed out and i work busily to complete them,anger
i no longer feel tortured by the thought that i ruined everything or that i need to do something to fix it or that something is going to happen anytime soon,anger
i dont know what it is but lately i have been feeling more cranky than usual,anger
im sure that what youre supposed to feel what most people feel when they find out someone is jealous of them is pride,anger
i feel like a heartless bitch but i honestly thought he was just coming down to pick up a few last things before he moves to california,anger
i feel he would get mad,anger
i only leave feeling dissatisfied and disappointed,anger
im having a good laugh at murts expense but i still feel fucked,anger
i can be a little ghetto but i feel like its because i gotta live in this town in stockton if you aint rude sometimes people will screw you over so dont be afraid to speak up,anger
i adore the ladies and believe they are wonderful people but even i have found myself feeling ridiculously envious and jealous because of my insecurities,anger
i feel mad today,anger
i feel so resentful and hateful and downright furious about this,anger
i think about this i feel petty over my sadness,anger
i feel angry there are times when i laugh smile and afterwards i feel angry again,anger
im feeling dangerous and ill just write and figure out where the hell itll take me,anger
i start feeling disgusted with all the candy ive been eating but never during easter week,anger
i feel so disgusted by not only my own but everyones lived,anger
